Year,Billion Btu
2016,32077
2015,30967
2014,39486
2013,38151
2012,43832
2011,55264
2010,54972
2009,52403
2008,63050
2007,66495
2006,67017
2005,67422
2004,68909
2003,69469
2002,70010
2001,67839
2000,70012
1999,69547
1998,66157
1997,82651
1996,80324
1995,84323
1994,84616
1993,84669
1992,91515
1991,89519
1990,84160
1989,66427
1988,50824
1987,44951
1986,42519
1985,45264
1984,37243
1983,32022
1982,69415
1981,78401
1980,66170
1979,68565
1978,67892
1977,75109
1976,66630
1975,56405
1974,60670
1973,66956
1972,47452
1971,51015
1970,61812
1969,60031
1968,57011
1967,53949
1966,51515
1965,63693
1964,53723
1963,46127
1962,39681
1961,59106
1960,35903
