Year,Trillion Btu
2017,27847.897
2016,27649.297
2015,28066.882
2014,26718.073
2013,24859.072
2012,24610.065
2011,23405.72
2010,21805.763
2009,21139.45
2008,20702.884
2007,19786.209
2006,19021.706
2005,18556.015
2004,19074.254
2003,19633.304
2002,19382.055
2001,20165.567
2000,19661.529
1999,19340.703
1998,19613.295
1997,19393.851
1996,19344.268
1995,19082.245
1994,19348.013
1993,18584.037
1992,18375.1
1991,18228.736
1990,18326.155
1989,17847.275
1988,17598.597
1987,17135.819
1986,16540.801
1985,16980.38
1984,18007.933
1983,16593.389
1982,18319.025
1981,19699.155
1980,19907.6
1979,20076.347
1978,19485.219
1977,19565.321
1976,19480.319
1975,19640.343
1974,21210.145
1973,22187.349
1972,22207.545
1971,22279.791
1970,21665.67
1969,20446.462
1968,19067.853
1967,17943.168
1966,17010.742
1965,15775.441
1964,15298.396
1963,14512.781
1962,13716.861
1961,13104.734
1960,12656.133
1959,11951.826
1958,10942.235
1957,10605.254
1956,10002.147
1955,9344.668
1954,8681.785
1953,8338.838
1952,7963.599
1951,7415.733
1950,6232.975
1949,5377.243
